Model,K,Value
frequency model, 10, 0.004077810899640688
frequency model, 20, 0.004794389665978561
frequency model, 50, 0.003253076511503486
genre baseline model, 10, 0.0027363754490560346
genre baseline model, 20, 0.0024344569288388945
genre baseline model, 50, 0.003244668653978454
personalised genre model, 10, 0.01266146908201508
personalised genre model, 20, 0.01012382481082417
personalised genre model, 50, 0.0066804249789809336
lda model, 10, 0.016926545899259782
lda model, 20, 0.013504165711230035
lda model, 50, 0.00911717495987334
clustering + lda model, 10, 0.004800122296109347
clustering + lda model, 20, 0.004140869831078346
clustering + lda model, 50, 0.003845448291676116
