Users_clean,Views_clean,Users_original,Views_original
1,11799,1,310961
1,6223,1,42746
1,5722,1,31168
1,5003,1,28298
1,3445,1,18331
1,2772,1,16756
1,2678,1,15484
1,2635,1,15390
1,2311,1,14029
1,2294,1,13847
1,2171,1,13606
1,2008,1,13227
1,1937,1,12905
1,1904,1,11585
1,1766,1,10672
1,1687,1,9956
1,1529,1,8789
1,1504,1,8536
1,1498,1,8491
1,1490,1,8108
1,1487,1,7984
1,1464,1,7843
1,1454,1,7490
1,1440,1,7392
1,1436,1,7331
1,1406,1,7300
1,1399,1,6881
1,1369,1,6515
1,1306,1,6414
1,1260,1,6328
1,1192,1,6228
1,1181,1,6130
1,1102,1,6046
1,1101,1,5846
1,1098,1,5810
1,1097,1,5730
1,1079,1,5649
1,1078,1,5588
1,1064,1,5447
1,1061,1,5412
1,1045,1,5347
1,1028,1,5258
1,1024,1,5209
1,1017,1,5144
1,979,1,5112
1,971,1,5063
1,967,1,5027
1,964,1,4989
1,957,1,4969
1,954,1,4927
1,941,1,4873
1,934,1,4845
1,920,1,4837
1,902,1,4772
2,895,1,4765
1,894,1,4648
1,893,1,4621
1,888,1,4508
1,883,1,4466
2,880,1,4432
1,863,1,4375
1,854,1,4325
1,850,1,4214
2,847,1,4198
1,843,1,4133
1,841,1,4129
1,839,1,4114
1,836,1,4101
1,832,1,4077
1,826,1,4034
1,821,1,3990
1,820,1,3973
2,816,1,3956
1,808,1,3905
2,798,1,3867
1,797,1,3798
1,796,1,3789
2,795,1,3781
1,792,1,3776
1,787,1,3768
2,783,1,3748
1,780,1,3735
2,773,1,3700
1,769,1,3698
1,761,1,3691
1,755,1,3667
1,753,1,3612
1,752,1,3587
1,750,1,3565
1,742,1,3562
1,741,1,3517
1,740,1,3486
1,738,2,3481
2,735,1,3472
2,734,1,3447
2,730,1,3421
1,728,1,3405
2,725,1,3395
1,724,1,3393
1,723,1,3387
1,722,1,3382
1,718,1,3356
1,713,1,3355
1,711,1,3331
2,710,1,3299
1,709,1,3277
1,708,1,3254
2,706,1,3238
1,705,1,3207
1,702,1,3199
1,697,1,3189
2,692,1,3184
3,691,1,3177
1,690,1,3172
1,688,1,3156
1,687,1,3139
1,684,1,3123
1,680,1,3110
2,678,1,3109
1,676,1,3099
1,674,1,3094
2,669,1,3045
1,668,1,3030
1,666,1,3003
2,665,1,3000
1,664,1,2989
1,663,1,2985
1,661,1,2980
1,659,2,2979
1,658,1,2977
1,656,1,2968
1,655,1,2964
2,654,1,2962
1,653,1,2941
2,651,2,2927
2,647,1,2912
1,646,1,2897
1,643,1,2893
2,642,1,2890
2,641,1,2888
1,639,1,2881
1,638,1,2878
1,637,1,2876
2,635,1,2871
2,634,1,2855
1,632,1,2853
