model,recall@10,recall@20,recall@50,precision@10,precision@20,precision@50
Frequency, 0.042861039785245414, 0.0784050493262484, 0.16605031723823005, 0.04490804615126477, 0.040552936003761315, 0.03465318313444576
Frequency, 0.04323887270277059, 0.07836097047593749, 0.16655089180157795, 0.045265855026743816, 0.0408084054762968, 0.03481298421696903
Frequency, 0.04301352825951046, 0.07852110966792852, 0.16608937939881221, 0.04494291735523093, 0.04052640356596093, 0.03466925421105619
Frequency, 0.04320878159911923, 0.07852327765155737, 0.1661240364580543, 0.04511272495715323, 0.04053929075003517, 0.03465803478021494
Frequency, 0.04266197222195315, 0.07800236061997987, 0.16540815437466402, 0.04459268917626605, 0.040322482829723595, 0.03451157572355689
Frequency, 0.04291622578546728, 0.0778586513869504, 0.165919522178405, 0.044876207225904116, 0.04047409676001142, 0.03466773807175343
Frequency, 0.042949630664476254, 0.07841070660322895, 0.1666585813265734, 0.04485346513636106, 0.0404536288794222, 0.03476325484783466
Frequency, 0.04300774096354269, 0.07859345105066078, 0.16586499878147112, 0.044982336977105956, 0.04060979122761917, 0.034584956865816203
Frequency, 0.04297217902065929, 0.07822851180685934, 0.1652745570633446, 0.045044498688523914, 0.040481677456525665, 0.034520369331513735
Frequency, 0.04293599619655517, 0.0782481788499237, 0.16583222472137432, 0.044936852798019324, 0.040382370332187105, 0.03456555028273934
Genre Baseline, 0.022885394328203544, 0.04871815367511494, 0.1250118234350937, 0.024323422836085996, 0.025740255014620326, 0.02645450824020245
Genre Baseline, 0.023000525025657144, 0.0493764960778751, 0.12482825566572524, 0.024482617462888264, 0.02599951483541228, 0.026381127097942936
Genre Baseline, 0.022776931477201594, 0.04916709757804775, 0.1250889012619912, 0.024114195612288825, 0.02584941704442711, 0.026380520642221874
Genre Baseline, 0.022974928754726065, 0.04930523102465283, 0.1248221192412657, 0.024428036447984566, 0.026019982716000853, 0.026342920387510474
Genre Baseline, 0.023013505727942838, 0.04946812258920891, 0.12492191267426779, 0.02437951999029256, 0.02603211183042393, 0.02636657216063535
Genre Baseline, 0.022714571201183545, 0.04865976287341527, 0.12429528145319452, 0.024162712069981024, 0.025692496626579648, 0.02628227481539536
Genre Baseline, 0.02292773718634593, 0.048670281033613476, 0.12467850956457434, 0.024250648149547804, 0.025652318935053004, 0.02632624285517886
Genre Baseline, 0.022996785580946113, 0.049224094511306014, 0.12485463877254761, 0.02439468138332131, 0.025888078596650693, 0.02633170095666915
Genre Baseline, 0.022985655660029643, 0.04926792793139958, 0.12487134040108683, 0.02441439119425871, 0.025916127173753904, 0.026365056021332475
Genre Baseline, 0.02293087597751842, 0.04907334919099906, 0.125278293079881, 0.024359810179355103, 0.025808481283249553, 0.02642175963126004
Personalised Genre, 0.10286785708210126, 0.1686907844551678, 0.2956437092494035, 0.1034931849538555, 0.08596813075188472, 0.06155555892471472
Personalised Genre, 0.10237126500682377, 0.1683930642730152, 0.29591199652652006, 0.10308382734207866, 0.08588853343848357, 0.061645617599305494
Personalised Genre, 0.10323022827864932, 0.169581912013594, 0.29577735543063033, 0.1037948966751289, 0.08639492396564635, 0.06157830101425783
Personalised Genre, 0.10299323519481535, 0.16883980126744685, 0.29601784350340404, 0.10344466849616317, 0.0859499370802492, 0.06154403626601272
Personalised Genre, 0.10323961631627256, 0.16929717079308565, 0.2959958386853811, 0.10372363812789347, 0.0862630198462943, 0.06162105614259897
Personalised Genre, 0.1027341884985024, 0.16857541138753418, 0.295161792584646, 0.10331731279472257, 0.08590748517977036, 0.0614363903755084
Personalised Genre, 0.10244517579449486, 0.16837376045655156, 0.2947527700397897, 0.1030944403171983, 0.08583167821462595, 0.06141182891880177
Personalised Genre, 0.10267382760032256, 0.16841470974272688, 0.2958406281548586, 0.1032445381081831, 0.08577633913007143, 0.06153372651875324
Personalised Genre, 0.10337645174767018, 0.16915972217637412, 0.2956197047126032, 0.10392225237657034, 0.08605151841354401, 0.06147823582026797
Personalised Genre, 0.10322240413989409, 0.1693188265488519, 0.2962856695014875, 0.10350076565037003, 0.08607729278169274, 0.06156041057048373
LDA, 0.1472528123216377, 0.23759549367058477, 0.40492853499331377, 0.1501766302288387, 0.12281107388149098, 0.08539654623467406
LDA, 0.14783300268834088, 0.23776179358434646, 0.402858516312151, 0.15015692041790182, 0.12260412086664918, 0.08495504646967338
LDA, 0.14677743434143098, 0.2381704468158855, 0.40614613098016766, 0.14933668905504213, 0.12303849477692104, 0.0855787861788794
LDA, 0.1465168640365616, 0.23560258170001855, 0.40053134159706755, 0.1489879770153774, 0.12158148490685633, 0.08437072638234325
LDA, 0.14996475171581466, 0.2418769926370414, 0.41061825648567635, 0.15231287050659534, 0.1247388450051013, 0.08651848931880513
LDA, 0.1492069561375473, 0.2400940236965888, 0.4065389682761894, 0.15172612459638166, 0.12389966190095843, 0.08569674181664366
LDA, 0.14775531140973827, 0.238314881074871, 0.40232214949139694, 0.1502054368755929, 0.12297330078689898, 0.08487256849159738
LDA, 0.14908826245289164, 0.24099947851495657, 0.40958389683938845, 0.15131221856669486, 0.12414376032872114, 0.08622253892688152
LDA, 0.14636718262556012, 0.23656714376605817, 0.40301091721839005, 0.1488424276423021, 0.12204997195144589, 0.0848786330488086
LDA, 0.1499166329860416, 0.24049725501390504, 0.40467672216673944, 0.1518868353624865, 0.12379959670696751, 0.08522067407553913
